,year,State,Median income,Smoke everyday,Smoke some days,Former smoker,Never smoked
231,1999,Kansas,57488.0,18.1,3.0,22.5,56.4
232,1999,Kentucky,51931.0,25.6,4.2,23.2,47.1
233,1999,Louisiana,50263.0,18.7,4.8,20.7,55.8
234,1999,Maine,59818.0,19.8,3.5,29.5,47.2
235,1999,Maryland,80356.0,15.5,4.8,24.2,55.5
236,1999,Massachusetts,67735.0,15.2,4.1,25.8,55.0
237,1999,Michigan,70942.0,19.5,5.6,23.6,51.3
238,1999,Minnesota,72403.0,15.1,4.4,20.0,60.5
239,1999,Mississippi,49992.0,18.5,4.4,20.3,56.8
240,1999,Missouri,63699.0,22.7,4.3,24.7,48.2
241,1999,Montana,47775.0,16.0,4.2,27.7,52.1
242,1999,Nebraska,59455.0,18.2,5.0,22.1,54.7
243,1999,Nevada,63819.0,24.3,7.2,29.0,39.5
244,1999,New Hampshire,70890.0,18.0,4.3,29.0,48.7
245,1999,New Jersey,76553.0,14.6,6.0,21.3,58.1
246,1999,New Mexico,50139.0,16.4,6.0,24.6,52.9
247,1999,New York,61553.0,17.0,4.8,23.1,55.1
248,1999,North Carolina,57343.0,21.0,4.2,23.2,51.6
249,1999,North Dakota,50276.0,17.0,5.1,24.7,53.1
250,1999,Ohio,60783.0,23.6,4.0,24.0,48.4
251,1999,Oklahoma,50307.0,22.4,2.8,18.7,56.1
252,1999,Oregon,62523.0,16.1,5.4,28.1,50.5
253,1999,Pennsylvania,58119.0,18.4,4.7,23.3,53.6
254,1999,Puerto Rico,,9.7,4.0,15.3,71.0
255,1999,Rhode Island,65755.0,17.8,4.4,25.6,52.2
256,1999,South Carolina,56124.0,18.0,5.6,20.4,56.0
257,1999,South Dakota,55148.0,17.6,4.8,25.1,52.4
258,1999,Tennessee,56216.0,21.9,2.9,20.7,54.4
259,1999,Texas,59550.0,15.0,7.5,23.3,54.3
260,1999,United States,62641.0,18.0,4.8,24.0,52.5
261,1999,Utah,70882.0,10.3,3.7,17.3,68.8
262,1999,Vermont,64008.0,16.9,4.8,26.7,51.6
263,1999,Virginia,70333.0,17.0,4.3,25.3,53.3
264,1999,Washington,69994.0,17.0,5.3,26.8,50.8
265,1999,West Virginia,45095.0,23.8,3.3,23.8,49.0
266,1999,Wisconsin,70293.0,17.9,5.8,28.6,47.7
267,1999,Wyoming,57334.0,19.1,4.8,24.9,51.2
268,2000,Alabama,52737.0,19.3,5.9,24.0,50.8
